asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_byline,coupon_text,unit_price,unit_count,product_badge
B09MW9FXW8,Protetor solar em bastão Incolor FPS 95,"R$ 103,55","R$ 107,91",BRL,4,163,https://www.amazon.com.br/dp/B09MW9FXW8,https://m.media-amazon.com/images/I/510-WbO1+oL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 103,55",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,
B0F1WDN2PC,Truss Óleo Capilar Nutritivo Nutri Infusion | Nutrição Profunda e Controle de Frizz | 60ml,"R$ 110,48",,BRL,4.2,24,https://www.amazon.com.br/dp/B0F1WDN2PC,https://m.media-amazon.com/images/I/61Gr-DqcqRL._AC_UL960_FMwebp_QL65_.jpg,11,"R$ 109,20",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,
B0DQTZ2PDD,"Kérastase, Shampoo Iluminador, Gloss Absolu, Hydra-Glaze, para todos os tipos de cabelos, com ácido hialurônico, ácido glicólico e óleo de rosa silvestre e ação antifrizz, 250ml","R$ 279,90",,BRL,4.6,294,https://www.amazon.com.br/dp/B0DQTZ2PDD,https://m.media-amazon.com/images/I/71F4bQbSVnL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 279,90",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,Cítrico,,,,
B07MFRY6PD,Maquina De Acabamento Panasonic ER389X,"R$ 205,44",,BRL,4.6,840,https://www.amazon.com.br/dp/B07MFRY6PD,https://m.media-amazon.com/images/I/41wS29HKoNL._AC_UL960_FMwebp_QL65_.jpg,11,"R$ 189,90",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,
B0FCM8C75T,"Secador de Cabelo Profissional com Motor sem Escova, Velocidade Máxima de 130.000 RPM, Tecnologia de Íons Negativos, Vento de Alta Velocidade 23m/s - 3 Cores LED de Controle de Temperatura, Compacto e Leve, Filtro 304, Anti-Enroscamento de Cabelos, 220V","R$ 199,00",,BRL,5,7,https://www.amazon.com.br/dp/B0FCM8C75T,https://m.media-amazon.com/images/I/51YN-gxXJRL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 199,00",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,Economize 20% com o cupom,,,
B000068DWZ,"Calvin Klein Ck One Eau De Toilette, Calvin Klein Ck","R$ 329,99",,BRL,4.5,5426,https://www.amazon.com.br/dp/B000068DWZ,https://m.media-amazon.com/images/I/41tZy3aJTZL._AC_UL960_FMwebp_QL65_.jpg,16,"R$ 313,39",False,False,False,False,Mais de 1 mil compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,Cítrico,,,,
B078RVCYWK,"Kérastase Máscara Densifique Masque Densité, Sem densidade e volume, Densidade, volume, Ácido Hialurônico","R$ 249,00","R$ 266,00",BRL,4.4,217,https://www.amazon.com.br/dp/B078RVCYWK,https://m.media-amazon.com/images/I/619xjG6ntkL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 249,00",False,False,False,False,Mais de 1 mil compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B0D88LLW8W,ISDIN Acniben Sérum Noturno Anti-imperfeições para Pele Acneica Night Concentrate - 27ml,"R$ 138,99",,BRL,4.7,17,https://www.amazon.com.br/dp/B0D88LLW8W,https://m.media-amazon.com/images/I/61FcPJMQ50L._AC_UL960_FMwebp_QL65_.jpg,9,"R$ 125,50",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,
B0BM4QB6DB,Wella Invigo Nutri Condicionador 1L,"R$ 146,99",,BRL,4.6,316,https://www.amazon.com.br/dp/B0BM4QB6DB,https://m.media-amazon.com/images/I/41UcHyK0WbL._AC_UL960_FMwebp_QL65_.jpg,24,"R$ 139,90",False,False,False,False,Mais de 900 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,"Economize R$ 2,19 com o cupom",,,
B0D4GGPSNR,Kit de Cuidados com o Cabelo BRAÉ Essential Duo 250ml + Essential Hair Repair Spray 260ml + Máscara 200g + 3 Ampolas 13ml - Repara e Hidrata Cabelos Danificados e Fragilizados,"R$ 245,00",,BRL,4.6,129,https://www.amazon.com.br/dp/B0D4GGPSNR,https://m.media-amazon.com/images/I/51rVeR+8uWL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 245,00",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: seg., 21 de jul.",False,,,"R$ 35,00",7.0,
B0BF5S4G4Y,Escova Rotativa Black Rose ERB-01 1.200W - Mondial,"R$ 174,99",,BRL,4.2,40,https://www.amazon.com.br/dp/B0BF5S4G4Y,https://m.media-amazon.com/images/I/51oIyzps38L._AC_UL960_FMwebp_QL65_.jpg,21,"R$ 165,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
