asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,coupon_text,product_badge,product_byline,unit_price,unit_count,book_formats
B0CT3TJRX3,Kit 10 Luminária Espeto Jardim Cob Led 7w Prova Dágua (Branco Quente),"R$ 123,02",,BRL,4.1,40,https://www.amazon.com.br/dp/B0CT3TJRX3,https://m.media-amazon.com/images/I/71tcS74CTuL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 123,02",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",True,,,,,,
B0F5PH8XTK,"Elyblo Maleta de Ferramentas, Caixa de Ferramentas Completa, Kit Ferramentas Completo, Jogo de Ferramentas Profissional, Kit de Ferramentas 108 Peças com Maleta","R$ 299,99",,BRL,,0,https://www.amazon.com.br/dp/B0F5PH8XTK,https://m.media-amazon.com/images/I/81lqnTfD2dL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 299,99",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,Economize 5% com o cupom,,,,,
B077V94JSV,Sika – Borracha liquida- SikaFill Rápido Branco - Lajes - Fácil de aplicar - Balde 15kg,"R$ 249,90",,BRL,4.6,704,https://www.amazon.com.br/dp/B077V94JSV,https://m.media-amazon.com/images/I/71M-sidERtL._AC_UY654_FMwebp_QL65_.jpg,4,"R$ 249,90",False,False,False,False,Mais de 100 compras no mês passado,,False,,,,,,
B0FCFYCMGG,Jogo de Soquetes de Impacto 1/2 Profundos 15 Peças (8-32mm) - Cr-V - Alta Torque - Caixinha Organizadora - Completo para Caminhões e Oficina,"R$ 175,99",,BRL,5,1,https://www.amazon.com.br/dp/B0FCFYCMGG,https://m.media-amazon.com/images/I/6195rZM416L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 175,99",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B09B15RWPS,"Ventilador de Mesa Mondial 220V, 40cm, 6 pás, Super Power - VSP-40-B","R$ 124,90","R$ 140,51",BRL,4.6,24033,https://www.amazon.com.br/dp/B09B15RWPS,https://m.media-amazon.com/images/I/81r2JL+Ru5L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 124,90",False,False,True,False,Mais de 2 mil compras no mês passado,,False,,Oferta Prime Day,Energia elétrica,,,
B09TLRFV75,"Kit de Facas 3 Peças Ice Force: Carne de 20cm, Santoku 18cm, Universal de 11 cm - Feita de Aço Inox Alemão, Cabo Ergonômico e Perfeita para todos os usos na cozinha","R$ 149,99",,BRL,4.5,84,https://www.amazon.com.br/dp/B09TLRFV75,https://m.media-amazon.com/images/I/61SXZ4F4HjL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 149,99",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0DY831FZX,"Luminária de Mesa LED com Base Metálica, 3 Temperaturas de Cor, Controle por Toque, Abajur de Tecido Bege, USB 3V, Branco","R$ 116,91","R$ 139,90",BRL,5,4,https://www.amazon.com.br/dp/B0DY831FZX,https://m.media-amazon.com/images/I/71J5cI8zZrL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 116,91",False,False,True,False,,,True,,Com Prime,,,,
B0DPW245SG,"Refletor Solar, Refletor Solar LED Externo, Luminária, Luminaria, LuminariaExterna, Luminária área Externa","R$ 189,99",,BRL,2.6,3,https://www.amazon.com.br/dp/B0DPW245SG,https://m.media-amazon.com/images/I/6137yCiA6+L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 189,99",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,,,,,,
B0DB8BR668,"Lanterna Led Recarregavel 10000 Lumens, Goreit Lanterna Tatica Militar Super Potente XHP70.2, Lanterna a Pilha Lanterna De Choque Defesa Pessoal USB Para Acampamento Caminhada Pesca EmergêNcia","R$ 129,99","R$ 149,99",BRL,4.8,5344,https://www.amazon.com.br/dp/B0DB8BR668,https://m.media-amazon.com/images/I/81tt3+wa-CL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 129,99",False,False,False,False,Mais de 600 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,"Economize R$ 10,00 com o cupom (tamanhos/cores limitados)",,,,,
B0F9QX7111,Lustre Pendente 5 Cores Led Moderno 3 Arcos Anéis 89w 60cm Estrutura Dourado 110v/220v (Dourado),"R$ 239,99",,BRL,,0,https://www.amazon.com.br/dp/B0F9QX7111,https://m.media-amazon.com/images/I/51RlO+oBzmL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 239,99",False,False,False,False,,"Entrega GRÁTIS: dom., 20 de jul.",True,,,,,,
