asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_badge,coupon_text,book_format,unit_price,unit_count
B093LHRL42,"Luz de vídeo ULANZI VL120 RGB, Luzes de vídeo de bolso LED On-Camera, Bateria recarregável embutida 3100mAh, 360 efeitos de luz Full Color 20, CRI≥95 2500-9000K Painéis de LED para registro","R$ 165,49","R$ 206,00",BRL,4.7,959,https://www.amazon.com.br/dp/B093LHRL42,https://m.media-amazon.com/images/I/714LB8dXHtL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 165,49",False,False,True,False,Mais de 400 compras no mês passado,,False,Oferta Prime Day,,,,
B0996XZVB6,Cartão de Memória Com 3 anos de Garantia Micro SD 128GB WD Purple Intelbras,"R$ 150,00",,BRL,4.7,704,https://www.amazon.com.br/dp/B0996XZVB6,https://m.media-amazon.com/images/I/51ypHYTo7OL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 150,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B07VRSFJ9M,Antena Interna Amplificada Digital USB AI 3101 Preto Intelbras,"R$ 109,00",,BRL,3.9,2504,https://www.amazon.com.br/dp/B07VRSFJ9M,https://m.media-amazon.com/images/I/41Zwnz8tUvL._AC_UL960_FMwebp_QL65_.jpg,11,"R$ 71,35",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B0CW3B55KC,Relógio QCY GT S8 modelo WA23S8A Preto,"R$ 272,20",,BRL,4.5,96,https://www.amazon.com.br/dp/B0CW3B55KC,https://m.media-amazon.com/images/I/61lIg92PqsL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 272,20",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: sex., 18 de jul.",False,,,,,
B09NQPBMSY,"Mouse Sem Fio Logitech Signature M650 L com Design de Tamanho Padrão, Clique Silencioso, Botões Laterais Personalizáveis, Conexão USB e Bluetooth - Grafite","R$ 177,45","R$ 209,08",BRL,4.8,1593,https://www.amazon.com.br/dp/B09NQPBMSY,https://m.media-amazon.com/images/I/71ued9OR0WL._AC_UL960_FMwebp_QL65_.jpg,7,"R$ 172,21",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0DC8B7P7Z,Clamper Energia 8 Transparente LCF,"R$ 117,89","R$ 121,46",BRL,4.9,523,https://www.amazon.com.br/dp/B0DC8B7P7Z,https://m.media-amazon.com/images/I/517wmL0OpML._AC_UL960_FMwebp_QL65_.jpg,15,"R$ 97,07",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0B5GPYDND,"JBL, Fone de Ouvido Sem Fio, Bluetooth, Tune Flex TWS - Azul","R$ 379,99","R$ 399,99",BRL,4.3,1214,https://www.amazon.com.br/dp/B0B5GPYDND,https://m.media-amazon.com/images/I/71Tf8qmgkeL._AC_UL960_FMwebp_QL65_.jpg,7,"R$ 355,99",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0DCLQSP5R,Kit Antena - Receptor Digital Century Midiabox Lnbf 5g Ku Cabo Cor Preto 110v/220v,"R$ 217,54","R$ 229,00",BRL,4.5,186,https://www.amazon.com.br/dp/B0DCLQSP5R,https://m.media-amazon.com/images/I/51r6Zx0ePBL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 217,54",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: sex., 1 de ago.",False,Economize 5%,,,,
B0CFFJ874G,"Fone de Ouvido Bluetooth QCY H3 ANC, Cancelamento de Ruído Ativo Headphone Bluetooth 5.4 Headset com Microfone, Certificação Hi-Res Audio, Conexão Multipontos, 60 horas reprodução (Azul)","R$ 299,00",,BRL,4.8,3778,https://www.amazon.com.br/dp/B0CFFJ874G,https://m.media-amazon.com/images/I/51vh644EyQL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 299,00",False,False,False,False,Mais de 200 compras no mês passado,Entrega GRÁTIS: 25 - 31 de jul.,True,,"Economize R$ 40,00 com o cupom",,,
B098TSRNGG,Redragon FONE DE OUVIDO COM MICROFONE GAMER MINOS H210W BRANCO - com fio - ajustavel,"R$ 99,99","R$ 112,30",BRL,4.6,294,https://www.amazon.com.br/dp/B098TSRNGG,https://m.media-amazon.com/images/I/51haQLJJ0UL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 99,99",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
