asin,product_title,product_price,unit_price,unit_count,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_badge
B0C95BV8BP,Ração Veterinary Hepatic para Gatos Adultos com Insuficiência Hepática Crônica 1.5kg Royal Canin,"R$ 149,00","R$ 149,00",1.0,"R$ 158,80",BRL,5,28,https://www.amazon.com.br/dp/B0C95BV8BP,https://m.media-amazon.com/images/I/51jbwQFA04L._AC_UL960_FMwebp_QL65_.jpg,14,"R$ 147,50",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: ter., 22 de jul.",False,
B0051H45GC,The Company of Animals Focinheira Baskerville Preta Tamanho 5,"R$ 213,93","R$ 213,93",1.0,,BRL,4.8,42781,https://www.amazon.com.br/dp/B0051H45GC,https://m.media-amazon.com/images/I/81CeKGzSx0L._AC_UL960_FMwebp_QL65_.jpg,9,"R$ 187,00",False,False,False,False,Mais de 20 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,
B0CY9QWSLC,Caminha Tenda Luxo Cabana Casinha para gatos Toca Cama Para Gatos Iglu Tenda 40cm (Cinza - Gatinho),"R$ 139,99","R$ 139,99",1.0,,BRL,3.8,6,https://www.amazon.com.br/dp/B0CY9QWSLC,https://m.media-amazon.com/images/I/61ixCtVjGGL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 139,99",False,False,False,False,,"Entrega GRÁTIS: dom., 20 de jul.",False,
B08BG733QG,Virbac Cyclavance Tratamento de Dermatites Atópicas para Cães 15 mL,"R$ 244,99",,,"R$ 288,90",BRL,4.7,500,https://www.amazon.com.br/dp/B08BG733QG,https://m.media-amazon.com/images/I/719X4Tn5f-L._AC_UL960_FMwebp_QL65_.jpg,10,"R$ 263,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: ter., 15 de jul.",False,
B08LDS5T4G,"Feliway Refil ideal, a melhor solução para aliviar a ansiedade do gato, conflito e estresse em casa","R$ 162,38","R$ 3.389,33",,"R$ 174,40",BRL,4.5,2939,https://www.amazon.com.br/dp/B08LDS5T4G,https://m.media-amazon.com/images/I/81bxgsaKwIL._AC_UL960_FMwebp_QL65_.jpg,13,"R$ 154,90",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,
B0C17SKDXW,Viveiro Gaiola Calopsita Epóxi Agapornis Aves com Ninho Criadeira Acessórios Vivo Pet (Verde),"R$ 139,00","R$ 6,95",20.0,,BRL,5,5,https://www.amazon.com.br/dp/B0C17SKDXW,https://m.media-amazon.com/images/I/61BAfxv2g8L._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 139,00",False,False,False,False,,"Entrega GRÁTIS: qui., 31 de jul.",False,
B07Y2DHKPJ,Vetoquinol Suplemento Vitamínico Flexadin Advanced Para Cães 30 Tb,"R$ 125,00","R$ 125,00",1.0,,BRL,4.8,176,https://www.amazon.com.br/dp/B07Y2DHKPJ,https://m.media-amazon.com/images/I/61ia5wfDXxL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 125,00",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,
B0D4VXQC9X,Chalesco Arranhador Duas Bases para Gatos,"R$ 160,95","R$ 160,95",1.0,,BRL,5,7,https://www.amazon.com.br/dp/B0D4VXQC9X,https://m.media-amazon.com/images/I/51rBZ8kPa1L._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 160,95",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,
B07Y2D3NNH,"Suplemento Avert Condroplex LB 120g - 60 Comprimidos Ave, Multicor","R$ 115,88","R$ 115,88",1.0,,BRL,4.8,606,https://www.amazon.com.br/dp/B07Y2D3NNH,https://m.media-amazon.com/images/I/51DP6qWs6RL._AC_UL960_FMwebp_QL65_.jpg,27,"R$ 104,28",False,False,False,False,Mais de 600 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,
B07XWSHXDR,Virbac Humilac Hidratação Cutânea para Cães e Gatos 250 mL,"R$ 149,80","R$ 12,48",12.0,,BRL,4.4,230,https://www.amazon.com.br/dp/B07XWSHXDR,https://m.media-amazon.com/images/I/51prLqWec1L._AC_UL960_FMwebp_QL65_.jpg,10,"R$ 144,99",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: ter., 15 de jul.",False,
