asin	product_title	product_price	unit_price	unit_count	product_original_price	currency	product_star_rating	product_num_ratings	product_url	product_photo	product_num_offers	product_minimum_offer_price	is_best_seller	is_amazon_choice	is_prime	climate_pledge_friendly	sales_volume	delivery	has_variations	product_badge	product_byline	coupon_text
B0D2JD4PZJ	Pack Ração Úmida Kitekat Sachê Peixe ao Molho para Gatos Adultos 70 g - 48 unid	R$ 86,4	R$ 1,8	48.0	R$ 96,0	BRL	4.6	37	https://www.amazon.com.br/dp/B0D2JD4PZJ	https://m.media-amazon.com/images/I/712FN5bXAmL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 86,4	False	False	True	False	Mais de 100 compras no mês passad		False	Oferta Prime Day		
B0D1KCWZ7W	Heybly Árvore para gatos, 166 cm, torre para gatos internos, condomínio com folhas, cesta, folha, tigela de alimentação, móveis modernos de pelúcia de vários níveis, cinza claro	R$ 558,7	R$ 558,7	1.0		BRL	4.3	499	https://www.amazon.com.br/dp/B0D1KCWZ7W	https://m.media-amazon.com/images/I/710c8QSTvsL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 354,5	False	False	True	False		Entrega R$ 8,90: sex., 8 de ago.	False			
B0DH288Y3C	5L Alimentador Automatico Pet, Tuya WiFi Alimentador Automatico Gatos, Fácil de Programar Pequenos Animais de Estimação em Ambientes Inter	R$ 364,6	R$ 0,2	1658.0	R$ 429,0	BRL	4.4	61	https://www.amazon.com.br/dp/B0DH288Y3C	https://m.media-amazon.com/images/I/71QzHtxaggL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 364,6	False	False	True	False	Mais de 40 compras no mês passad		False	Com Prime		
B0F7RMLZBZ	Cercado para Gatos - Casa para Gatos e Cães - Casa Dobrável Com Brinquedos Interativos, Área De Exercícios Para Filhotes E Pequenos Animais Em Via	R$ 353,5	R$ 353,5	1.0		BRL		0	https://www.amazon.com.br/dp/B0F7RMLZBZ	https://m.media-amazon.com/images/I/71Fx4C+dayL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 353,5	False	False	False	False		Entrega R$ 40,99: 28 de jul. - 4 de ago.Ou entrega mais rápida: 18 - 22 de jul	False			
B0F7RMLZBZ	Cercado para Gatos - Casa para Gatos e Cães - Casa Dobrável Com Brinquedos Interativos, Área De Exercícios Para Filhotes E Pequenos Animais Em Via	R$ 353,5	R$ 353,5	1.0		BRL		0	https://www.amazon.com.br/dp/B0F7RMLZBZ	https://m.media-amazon.com/images/I/71Fx4C+dayL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 353,5	False	False	False	False		Entrega R$ 40,99: 28 de jul. - 4 de ago.Ou entrega mais rápida: 18 - 22 de jul	False			
B0FBQJ2WR7	3 Aliv Pet 150 Mg Suplemento Alimentar para Cães Cachorro Cão Gatos 40 comprimidos K	R$ 349,9	R$ 116,6	3.0		BRL		0	https://www.amazon.com.br/dp/B0FBQJ2WR7	https://m.media-amazon.com/images/I/51vSK4A072L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 349,9	False	False	False	False		Entrega GRÁTIS: seg., 21 de jul	False			
B0CT13MZ6W	Ouro Fino Ativi Cart 40 Mg com 3 UN	R$ 339,9	R$ 113,3	3.0		BRL	4.9	13	https://www.amazon.com.br/dp/B0CT13MZ6W	https://m.media-amazon.com/images/I/51+YUkEmo0L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 339,9	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
B0C44HYK7W	Ração Premier Nutrição Clínica Diabetes Cães Porte Pequeno 1	R$ 339,9	R$ 339,9	1.0		BRL	4.6	19	https://www.amazon.com.br/dp/B0C44HYK7W	https://m.media-amazon.com/images/I/51M4q71rVVL._AC_UL960_FMwebp_QL65_.jpg	8	R$ 300,0	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: sex., 18 de jul	False			
B0009YJ1W0	Seachem PolyGuard 100 gramas	R$ 335,8	R$ 335,8	1.0		BRL	4.7	187	https://www.amazon.com.br/dp/B0009YJ1W0	https://m.media-amazon.com/images/I/7182X5BW9ZL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 335,8	False	False	False	False		Entrega R$ 8,90: sex., 8 de ago.	False			
B0DTLLZJPT	Fórmula Natural Vet Care Renal Ração Seca Para Gatos Adultos 	R$ 329,9	R$ 329,9	1.0		BRL		0	https://www.amazon.com.br/dp/B0DTLLZJPT	https://m.media-amazon.com/images/I/61P-h5e4PvL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 329,9	False	False	False	False		Entrega R$ 80,82: 25 - 31 de jul.	False			
